id_parte,title,categoria,eje,ancho,alto,espesor,diametro,diametro_centrado,taladros,altura_interna,semimetalica,ceramica,low_metal,imagen
M1156,M1156 - Pastillas de Freno Cerámica Delanteras Chery   Arriz - Chery  Tiggo 4 / Tiggo 5,pastilla,DELANTERO,131.6,54.8,16.8,,,,,true,true,true,M1156.svg
M1158,M1158 - Pastillas de Freno Cerámica Delanteras Kia  Rio 5 - Hyundai Accent IV,pastilla,DELANTERO,132.8,58.1,17.2,,,,,true,true,true,M1158.svg
M1162,M1162 - Pastillas de Freno Cerámica Delanteras Para Kia,pastilla,DELANTERO,111,47.5,16.6,,,,,true,true,false,M1162.svg
M1164,M1164 - Pastillas de Freno Ceramica Delantera Dodge Chrysler - Fiat - Alfa Romero,pastilla,DELANTERO,156.4 & 155.2,71.5 & 68.9,20,,,,,false,true,false,M1164.svg
M1166,M1166 - Pastillas de Freno Ceramica Trasera Dodge Chrysler,pastilla,TRASERO,141.6 & 140.3,59.6 & 51.8,17,,,,,false,true,false,M1166.svg
M1167,M1167 - Pastillas de Freno Cerámica Delanteras Dodge Chrysler,pastilla,DELANTERO,194.3 & 193.1,64.1,19,,,,,false,true,false,M1167.svg
M1168,M1168 - Pastillas de Freno Cerámica Delanteras Para Toyota,pastilla,DELANTERO,150.7,65.4 & 62.5,19,,,,,false,true,false,M1168.svg
M1169,M1169 - Pastillas de Freno Cerámica Traseras para Mercedes-Benz Renault,pastilla,TRASERO,95.4,44,15.9,,,,,true,true,false,M1169.svg
M1171/M1158,M1171 / M1158 - Pastillas de Freno Cerámica Delanteras Para Hyundai  Kia,pastilla,DELANTERO,132.8,60,17.7,,,,,true,true,true,M1171.svg
M1174,M1174 - Pastillas de Freno Cerámica Traseras Para Toyota,pastilla,TRASERO,108.8,49.9,16.5,,,,,false,true,false,M1174.svg
M1175,M1175 - Pastillas de Freno Cerámica Delanteras Nissan  Versa March,pastilla,DELANTERO,138.5,49,13.9,,,,,true,true,true,M1175.svg
M1176,M1176 - Pastillas de Freno Cerámica Traseras para Citroen Peugeot,pastilla,TRASERO,86.9,53,17,,,,,true,true,false,M1176.svg
M1177,M1177 - Pastillas de Freno Cerámica Traseras Para Ford,pastilla,TRASERO,123,54.1,17.3,,,,,false,true,false,M1177.svg
M1178/M1150,M1178/M1150 - Pastillas de Freno Cerámica Delanteras Para Ford / Volkswagen Amarok,pastilla,DELANTERO,164.8,66.8,18.8,,,,,true,true,true,M1178.svg
M1180,M1180 - Pastillas de Freno Cerámica Delanteras para Renault Samsung,pastilla,DELANTERO,155,65 & 59,18,,,,,true,true,false,M1180.svg
M1181,M1181 - Pastillas de Freno Cerámica Delanteras para MG,pastilla,DELANTERO,156.3 & 155,69.9 & 67.1,19.1,,,,,true,true,false,M1181.svg
M1182,M1182 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,142.2,53.4,18,,,,,true,true,false,M1182.svg
M1183,M1183 - Pastillas de Freno Cerámica Delanteras para MG,pastilla,DELANTERO,150,54.2 & 49.8,15.3,,,,,false,true,true,M1183.svg
M1186,M1186 - Pastillas de Freno Cerámica Delanteras Volkswagen Gol / Voyage / Saveiro (2015 - ON) MG GT (2017 - ON),pastilla,DELANTERO,146,54,16.1,,,,,true,true,true,M1186.svg
M1189,M1189 - Pastillas de Freno Cerámica Traseras Fiat,pastilla,TRASERO,95.6,43.9,13.7,,,,,false,true,false,M1189.svg
M1190,M1190 - Pastillas de Freno Cerámica Delanteras para Renault MEGANE / 410A12582R,pastilla,DELANTERO,155,68 & 63,17.1,,,,,true,true,false,M1190.svg
M775/M1191,M775 / M1191 - Pastillas de Freno Cerámica Traseras Renault,pastilla,TRASERO,123.1,52,16.5,,,,,false,true,false,M775.svg
M1204,M1204 - Pastillas de Freno Cerámica Delanteras Para Hyundai,pastilla,DELANTERO,126.2,81.8,17,,,,,false,true,false,M1204.svg
